tarfile,netfile,Timestamp,Time_created,yaml,stamp,d
hadoop-release-0.11.1.tar.gz,Hadoop_0111,1245643811,2009-06-22-06:10,hadoop0111,1171065600,10-Feb-07
hadoop-release-0.11.2.tar.gz,Hadoop_0112,1245643811,2009-06-22-06:10,hadoop0112,1171670400,17-Feb-07
hadoop-release-0.12.0.tar.gz,Hadoop_0120,1245643811,2009-06-22-06:10,hadoop0120,1172880000,3-Mar-07
hadoop-release-0.12.1.tar.gz,Hadoop_0121,1245643811,2009-06-22-06:10,hadoop0121,1174176000,18-Mar-07
hadoop-release-0.12.3.tar.gz,Hadoop_0123,1245643811,2009-06-22-06:10,hadoop0123,1175817600,6-Apr-07
hadoop-release-0.13.0.tar.gz,Hadoop_0130,1245643811,2009-06-22-06:10,hadoop0130,1180915200,4-Jun-07
hadoop-release-0.13.1.tar.gz,Hadoop_0131,1245643811,2009-06-22-06:10,hadoop0131,1185235200,24-Jul-07
hadoop-release-0.14.0.tar.gz,Hadoop_0140,1245643811,2009-06-22-06:10,hadoop0140,1187308800,17-Aug-07
hadoop-release-0.14.2.tar.gz,Hadoop_0142,1245643811,2009-06-22-06:10,hadoop0142,1191628800,6-Oct-07
hadoop-release-0.14.3.tar.gz,Hadoop_0143,1245643811,2009-06-22-06:10,hadoop0143,1192492800,16-Oct-07
hadoop-release-0.14.4.tar.gz,Hadoop_0144,1245643811,2009-06-22-06:10,hadoop0144,1195430400,19-Nov-07
hadoop-release-0.15.0.tar.gz,Hadoop_0150,1245643811,2009-06-22-06:10,hadoop0150,1194048000,3-Nov-07
hadoop-release-0.15.1.tar.gz,Hadoop_0151,1245643811,2009-06-22-06:10,hadoop0151,1196294400,29-Nov-07
hadoop-release-0.15.2.tar.gz,Hadoop_0152,1245643811,2009-06-22-06:10,hadoop0152,1198800000,28-Dec-07
hadoop-release-0.15.3.tar.gz,Hadoop_0153,1245643811,2009-06-22-06:10,hadoop0153,1200441600,16-Jan-08
hadoop-release-0.16.0.tar.gz,Hadoop_0160,1245643811,2009-06-22-06:10,hadoop0160,1202083200,4-Feb-08
hadoop-release-0.16.1.tar.gz,Hadoop_0161,1245643811,2009-06-22-06:10,hadoop0161,1205452800,14-Mar-08
hadoop-release-0.16.2.tar.gz,Hadoop_0162,1245643811,2009-06-22-06:10,hadoop0162,1207180800,3-Apr-08
hadoop-release-0.16.3.tar.gz,Hadoop_0163,1245643811,2009-06-22-06:10,hadoop0163,1208390400,17-Apr-08
hadoop-release-0.16.4.tar.gz,Hadoop_0164,1245643811,2009-06-22-06:10,hadoop0164,1210377600,10-May-08
hadoop-release-0.17.0.tar.gz,Hadoop_0170,1245643811,2009-06-22-06:10,hadoop0170,1211328000,21-May-08
hadoop-release-0.17.1.tar.gz,Hadoop_0171,1245643811,2009-06-22-06:10,hadoop0171,1214524800,27-Jun-08
hadoop-release-0.17.2.tar.gz,Hadoop_0172,1245643811,2009-06-22-06:10,hadoop0172,1219104000,19-Aug-08
hadoop-release-0.18.0.tar.gz,Hadoop_0180,1245643811,2009-06-22-06:10,hadoop0180,1219190400,20-Aug-08
hadoop-release-0.18.1.tar.gz,Hadoop_0181,1245643811,2009-06-22-06:10,hadoop0181,1221696000,18-Sep-08
hadoop-release-0.18.2.tar.gz,Hadoop_0182,1245643811,2009-06-22-06:10,hadoop0182,1225324800,30-Oct-08
hadoop-release-0.18.3.tar.gz,Hadoop_0183,1245643811,2009-06-22-06:10,hadoop0183,1232668800,23-Jan-09
hadoop-release-0.19.0.tar.gz,Hadoop_0190,1245643811,2009-06-22-06:10,hadoop0190,1226620800,14-Nov-08
